Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
gradient-half-sleave-cotton-tshirt,Gradient | Half Sleave Cotton Tshirt,,echell,TShirt,"abstract, men, premium, printed, short sleeve, S, M, L, XL, XXL, 3XL",TRUE,Size,S,Color,BLACK,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,1.0,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,S,,RED,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,2.0,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,S,,WHITE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_WHITE.jpg?v=1586252791,3.0,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_WHITE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,S,,ROYAL BLUE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_ROYAL_BLUE.jpg?v=1586252791,4.0,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_ROYAL_BLUE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,M,,BLACK,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,M,,RED,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,M,,WHITE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_WHITE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,M,,ROYAL BLUE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_ROYAL_BLUE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,L,,BLACK,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,L,,RED,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,L,,WHITE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_WHITE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,L,,ROYAL BLUE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_ROYAL_BLUE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XL,,BLACK,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XL,,RED,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XL,,WHITE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_WHITE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XL,,ROYAL BLUE,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_ROYAL_BLUE.jpg?v=1586252791,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XXL,,BLACK,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_BLACK.jpg?v=1586252792,g,,480
gradient-half-sleave-cotton-tshirt,,,,,,,,XXL,,RED,,,,100,shopify,continue,manual,599,699,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0360/3693/5813/files/GRADIENT_HALF_SLEAVE_COTTON_TSHIRT_RED.jpg?v=1586252791,g,,480
